City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,2022-02-06 20:22:14,-46.1927,168.8643,47.34,74,5,1.28,clear sky
1,Vao,NC,2022-02-06 20:22:14,-22.6667,167.4833,80.04,84,79,1.16,broken clouds
2,Cowansville,CA,2022-02-06 20:20:17,45.2001,-72.7491,23.16,45,63,4.61,broken clouds
3,Hovd,MN,2022-02-06 20:22:15,48.0056,91.6419,-14.08,74,13,3.2,few clouds
4,Deputatskiy,RU,2022-02-06 20:22:15,69.3,139.9,-34.76,98,78,5.35,broken clouds
5,Cape Town,ZA,2022-02-06 20:20:47,-33.9258,18.4232,67.12,75,20,6.91,few clouds
6,Ati,TD,2022-02-06 20:22:16,13.2154,18.3353,71.24,14,0,10.33,clear sky
7,Hermanus,ZA,2022-02-06 20:22:14,-34.4187,19.2345,67.8,92,9,7.09,clear sky
8,New Norfolk,AU,2022-02-06 20:22:17,-42.7826,147.0587,52.75,75,4,1.95,clear sky
9,Busselton,AU,2022-02-06 20:22:17,-33.65,115.3333,53.1,53,47,17.13,scattered clouds
10,Victoria,HK,2022-02-06 20:20:03,22.2855,114.1577,62.58,80,100,3.0,overcast clouds
11,Ushuaia,AR,2022-02-06 20:22:18,-54.8,-68.3,64.06,55,75,18.41,broken clouds
12,Vila Franca Do Campo,PT,2022-02-06 20:19:57,37.7167,-25.4333,61.2,86,70,12.97,broken clouds
13,Tiksi,RU,2022-02-06 20:22:19,71.6872,128.8694,-15.3,99,100,4.25,overcast clouds
14,Castro,BR,2022-02-06 20:22:19,-24.7911,-50.0119,74.17,78,47,5.86,light rain
15,Bluff,NZ,2022-02-06 20:22:20,-46.6,168.3333,48.31,72,3,5.14,clear sky
16,Barrow,US,2022-02-06 20:17:36,71.2906,-156.7887,-25.58,68,0,12.66,clear sky
17,Chimbote,PE,2022-02-06 20:22:22,-9.0853,-78.5783,74.61,70,95,10.69,overcast clouds
18,Punta Arenas,CL,2022-02-06 20:17:51,-53.15,-70.9167,68.11,56,75,11.5,broken clouds
19,Rocha,UY,2022-02-06 20:22:23,-34.4833,-54.3333,70.16,49,46,18.63,scattered clouds
20,Cabo San Lucas,MX,2022-02-06 20:19:49,22.8909,-109.9124,75.61,61,0,5.01,clear sky
21,Berdyaush,RU,2022-02-06 20:22:23,55.1619,59.1464,5.22,96,99,3.96,overcast clouds
22,Tuktoyaktuk,CA,2022-02-06 20:22:24,69.4541,-133.0374,-25.6,75,75,17.27,light snow
23,Hilo,US,2022-02-06 20:20:19,19.7297,-155.09,75.25,92,100,6.91,moderate rain
24,Carnarvon,AU,2022-02-06 20:22:25,-24.8667,113.6333,72.75,66,22,24.27,few clouds
25,Knysna,ZA,2022-02-06 20:22:25,-34.0363,23.0471,73.78,56,23,5.44,few clouds
26,Inverell,AU,2022-02-06 20:22:25,-29.7833,151.1167,55.11,89,0,1.01,clear sky
27,Kedrovyy,RU,2022-02-06 20:22:26,56.1667,91.8167,21.61,86,100,4.7,overcast clouds
28,Arraial Do Cabo,BR,2022-02-06 20:17:51,-22.9661,-42.0278,85.96,69,0,18.41,clear sky
29,Naze,JP,2022-02-06 20:21:31,28.3667,129.4833,51.98,62,100,7.07,overcast clouds
30,Pascagoula,US,2022-02-06 20:22:27,30.3658,-88.5561,61.05,38,0,4.61,clear sky
31,Hobart,AU,2022-02-06 20:18:28,-42.8794,147.3294,53.06,87,20,1.01,few clouds
32,Souillac,MU,2022-02-06 20:22:07,-20.5167,57.5167,79.36,83,75,6.91,broken clouds
33,Nikolskoye,RU,2022-02-06 20:22:28,59.7035,30.7861,35.87,94,100,12.01,light snow
34,Byron Bay,AU,2022-02-06 20:22:29,-28.65,153.6167,67.87,77,100,15.52,overcast clouds
35,Tiznit,MA,2022-02-06 20:22:29,29.5833,-9.5,62.82,41,6,2.33,clear sky
36,Kodiak,US,2022-02-06 20:22:29,57.79,-152.4072,36.91,65,0,14.97,clear sky
37,Hervey Bay,AU,2022-02-06 20:22:30,-25.2986,152.8535,66.31,78,20,14.03,light rain
38,Jamestown,US,2022-02-06 20:22:30,42.097,-79.2353,35.19,26,0,13.8,clear sky
39,Arlit,NE,2022-02-06 20:22:31,18.7369,7.3853,66.96,9,0,5.37,clear sky
40,Pisco,PE,2022-02-06 20:22:31,-13.7,-76.2167,73.02,83,20,10.36,mist
41,Aksha,RU,2022-02-06 20:22:31,50.2814,113.2867,3.0,95,50,4.81,scattered clouds
42,Hofn,IS,2022-02-06 20:22:32,64.2539,-15.2082,26.6,67,3,16.91,clear sky
43,Bredasdorp,ZA,2022-02-06 20:22:33,-34.5322,20.0403,67.28,82,0,3.44,clear sky
44,Rikitea,PF,2022-02-06 20:22:33,-23.1203,-134.9692,79.12,70,1,17.02,clear sky
45,Oussouye,SN,2022-02-06 20:22:34,12.485,-16.5469,82.58,47,1,6.71,clear sky
