City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mataura,NZ,47.34,clear sky,-46.1927,168.8643,Ellie's Villa
1,Vao,NC,80.04,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
2,Cowansville,CA,23.16,broken clouds,45.2001,-72.7491,Hotel Cowansville
5,Cape Town,ZA,67.12,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
7,Hermanus,ZA,67.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
8,New Norfolk,AU,52.75,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
9,Busselton,AU,53.1,scattered clouds,-33.65,115.3333,Observatory Guest House
10,Victoria,HK,62.58,overcast clouds,22.2855,114.1577,Mini Hotel Central
11,Ushuaia,AR,64.06,broken clouds,-54.8,-68.3,Albatross Hotel
12,Vila Franca Do Campo,PT,61.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
14,Castro,BR,74.17,light rain,-24.7911,-50.0119,CHACARA BAILLY
15,Bluff,NZ,48.31,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
17,Chimbote,PE,74.61,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
18,Punta Arenas,CL,68.11,broken clouds,-53.15,-70.9167,Hotel Hain
19,Rocha,UY,70.16,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
20,Cabo San Lucas,MX,75.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
23,Hilo,US,75.25,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
24,Carnarvon,AU,72.75,few clouds,-24.8667,113.6333,Hospitality Carnarvon
25,Knysna,ZA,73.78,few clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
26,Inverell,AU,55.11,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
28,Arraial Do Cabo,BR,85.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
29,Naze,JP,51.98,overcast clouds,28.3667,129.4833,Shishime Hotel
30,Pascagoula,US,61.05,clear sky,30.3658,-88.5561,Regency Inn
31,Hobart,AU,53.06,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
32,Souillac,MU,79.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
33,Nikolskoye,RU,35.87,light snow,59.7035,30.7861,Tourist House - Sablino
34,Byron Bay,AU,67.87,overcast clouds,-28.65,153.6167,Backpackers Inn
36,Kodiak,US,36.91,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
37,Hervey Bay,AU,66.31,light rain,-25.2986,152.8535,Shelly Bay Resort
38,Jamestown,US,35.19,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
39,Arlit,NE,66.96,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
40,Pisco,PE,73.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
42,Hofn,IS,26.6,clear sky,64.2539,-15.2082,Hótel Höfn
43,Bredasdorp,ZA,67.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
44,Rikitea,PF,79.12,clear sky,-23.1203,-134.9692,People ThankYou
45,Oussouye,SN,82.58,clear sky,12.485,-16.5469,Auberge du Routard
46,Mehamn,NO,26.78,scattered clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
47,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
48,Katsuura,JP,35.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
50,Hamilton,US,40.98,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
51,Katobu,ID,75.04,scattered clouds,-4.9408,122.5276,La Ode Husein
52,Ribeira Grande,PT,63.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
53,Muros,ES,52.84,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
54,Kaitangata,NZ,48.24,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
55,Torbay,CA,15.58,broken clouds,47.6666,-52.7314,Gallows Cove
56,Kavieng,PG,81.05,broken clouds,-2.5744,150.7967,Nusa Island Retreat
57,Pierre,US,45.86,scattered clouds,44.3683,-100.351,Ramkota Hotel
58,Mount Gambier,AU,59.25,clear sky,-37.8333,140.7667,The Commodore
59,Goderich,CA,28.9,overcast clouds,43.7501,-81.7165,Harmony Inn
60,Esperance,AU,60.64,overcast clouds,-33.8667,121.9,Hospitality Esperance
61,Oktyabrskoye,RU,32.14,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
62,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
64,Necochea,AR,63.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
65,Vaini,TO,77.16,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
66,Mar Del Plata,AR,68.09,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
68,Pokrovsk,UA,29.1,overcast clouds,48.282,37.1758,Druzhba
71,Lebu,CL,65.86,clear sky,-37.6167,-73.65,Hostal Las Lilas
72,Ponta Do Sol,PT,63.72,clear sky,32.6667,-17.1,Hotel do Campo
73,Harper,LR,79.84,overcast clouds,4.375,-7.7169,Screensaver
76,Port Shepstone,ZA,73.26,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
78,Mastic Beach,US,32.5,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
80,Camacha,PT,59.76,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
82,Saldanha,ZA,68.05,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
84,Almonte,ES,59.27,clear sky,37.2647,-6.5167,Viajes Halcon
85,Tasiilaq,GL,23.16,overcast clouds,65.6145,-37.6368,The Red House
87,Bakong,CM,69.26,scattered clouds,5.0935,10.4852,Tagni Mbeu Njanga Jean
88,General Roca,AR,88.2,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
89,Sorland,NO,35.46,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
90,Kruisfontein,ZA,74.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
91,Ixtapa,MX,76.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
92,Atuona,PF,78.69,clear sky,-9.8,-139.0333,Villa Enata
95,Port Elizabeth,ZA,77.09,clear sky,-33.918,25.5701,39 On Nile Guest House
96,Yenagoa,NG,80.91,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
97,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
99,Caraballeda,VE,89.67,broken clouds,10.6112,-66.8522,Hotel 15 Letras
100,Huntington,US,48.54,clear sky,38.4193,-82.4452,Ramada Limited Huntington
102,Longyearbyen,SJ,21.04,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
104,Kapaa,US,77.32,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
105,Salalah,OM,75.06,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
106,Shache,CN,27.05,overcast clouds,38.4167,77.2406,Delong Hotel
108,Butaritari,KI,81.61,light rain,3.0707,172.7902,Isles Sunset Lodge
109,Lucapa,AO,65.55,moderate rain,-8.4192,20.7447,Residência Ulisses Dos Santos
110,Mumford,GH,80.6,broken clouds,5.2618,-0.759,Spanish Villa
111,Port Lincoln,AU,72.18,clear sky,-34.7333,135.8667,Port Lincoln Hotel
113,Concordia,AR,75.27,few clouds,-31.393,-58.0209,Palmar Hotel Casino
114,Geraldton,AU,68.41,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
115,Yulara,AU,67.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
116,Chizhou,CN,33.69,snow,30.6578,117.4831,Home Inn Chizhou Qiupu West Road Xiushanmen Square
117,Fuling,CN,38.66,light rain,29.7022,107.3919,Yingbin Hostel
118,Hobyo,SO,76.51,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
119,Pemangkat,ID,76.75,overcast clouds,1.1667,108.9667,Ramah Kost KITA
120,Port Alfred,ZA,74.66,broken clouds,-33.5906,26.891,The Halyards Hotel
