City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2022-02-03 23:52:11,-34.4187,19.2345,61.9,72,53,9.73
1,Henties Bay,NA,2022-02-03 23:52:12,-22.116,14.2845,67.86,88,1,7.99
2,Santa Cruz,BO,2022-02-03 23:52:12,-17.8,-63.1667,84.25,70,40,17.27
3,Tessalit,ML,2022-02-03 23:52:12,20.1986,1.0114,59.14,16,39,12.26
4,Saint George,US,2022-02-03 23:51:01,37.1041,-113.5841,48.79,22,0,1.99
5,Punta Arenas,CL,2022-02-03 23:51:25,-53.15,-70.9167,50.11,50,0,12.66
6,Khash,IR,2022-02-03 23:52:13,28.2211,61.2158,45.3,26,0,0.96
7,Natal,BR,2022-02-03 23:52:14,-5.795,-35.2094,81.25,83,20,10.36
8,Cape Town,ZA,2022-02-03 23:52:14,-33.9258,18.4232,64.27,66,75,1.99
9,Inhambane,MZ,2022-02-03 23:52:15,-23.865,35.3833,76.84,85,0,6.06
10,Port Alfred,ZA,2022-02-03 23:52:15,-33.5906,26.891,69.76,77,83,18.1
11,Guatire,VE,2022-02-03 23:52:16,10.4762,-66.5427,77.5,93,51,3.15
12,Andapa,MG,2022-02-03 23:52:17,-14.65,49.65,69.46,89,99,3.51
13,Hithadhoo,MV,2022-02-03 23:52:18,-0.6,73.0833,81.59,72,88,9.13
14,Bathsheba,BB,2022-02-03 23:52:19,13.2167,-59.5167,77.61,65,20,13.8
15,Moose Factory,CA,2022-02-03 23:52:19,51.2585,-80.6094,-9.42,54,0,8.05
16,Kavaratti,IN,2022-02-03 23:52:20,10.5669,72.642,79.34,65,4,8.37
17,Pisco,PE,2022-02-03 23:52:05,-13.7,-76.2167,71.65,73,0,21.85
18,Taoudenni,ML,2022-02-03 23:50:43,22.6783,-3.9836,64.26,20,65,11.43
19,Srivardhan,IN,2022-02-03 23:52:20,18.0333,73.0167,71.53,70,48,2.13
20,Narsaq,GL,2022-02-03 23:52:21,60.9167,-46.05,24.04,91,100,6.46
21,Lebu,CL,2022-02-03 23:52:21,-37.6167,-73.65,60.46,91,89,13.96
22,Longyearbyen,SJ,2022-02-03 23:52:22,78.2186,15.6401,15.64,73,20,2.3
23,Andenes,NO,2022-02-03 23:52:23,69.3143,16.1194,21.18,68,41,26.46
24,Stralsund,DE,2022-02-03 23:52:23,54.3091,13.0818,45.05,93,100,12.15
25,Arraial Do Cabo,BR,2022-02-03 23:52:24,-22.9661,-42.0278,75.16,94,75,3.44
26,Puerto Ayora,EC,2022-02-03 23:52:24,-0.7393,-90.3518,76.55,89,20,5.99
27,Luderitz,NA,2022-02-03 23:52:24,-26.6481,15.1594,68.18,69,3,15.66
28,Piro,IN,2022-02-03 23:52:25,25.3333,84.4167,57.83,82,34,14.23
29,Ushuaia,AR,2022-02-03 23:52:25,-54.8,-68.3,44.26,70,75,17.27
